appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
FCT,FCT,Conspiracy,Missing,-1,-1,-1,2,2,-1,-1,-1,-1,Dismissed
South-West,South-West,Human_rights_violation,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
North-West,South-West,Dispute,Missing,1,1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Civil_petition,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,2,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Fraud_impersonation,Missing,1,1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Civil_petition,Missing,-1,-1,-1,10,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,3,-1,-1,5,-1,-1,-1,-1,-1,Granted
South-East,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,South-East,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Theft,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-East,Dispute,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Election_petition,Missing,4,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Dispute,Missing,1,-1,1,1,1,-1,-1,1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,North-West,Murder_manslaughter,Death,-1,-1,-1,1,-1,-1,6,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Human_rights_violation,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,-1,-1,-1,2,2,-1,-1,-1,-1,Granted
Missing,South-West,Unlawful_possession,Prison_term,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,-1,-1,-1,14,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,5,-1,-1,-1,-1,-1,Dismissed
Missing,North-West,Theft,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
North-Central,North-East,Dispute,Missing,3,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Civil_petition,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
FCT,FCT,Armed_robbery,Death,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,5,-1,-1,5,-1,-1,Dismissed
North-West,Missing,Dispute,Prison_term,1,-1,1,-1,-1,-1,-1,1,-1,Dismissed
Missing,North-East,Dispute,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
North-West,Missing,Dispute,Missing,-1,-1,-1,1,-1,1,-1,-1,-1,Granted
North-West,Missing,Dispute,Prison_term,1,-1,1,1,1,-1,-1,-1,-1,Dismissed
North-West,North-West,Dispute,Missing,1,-1,-1,1,1,-1,-1,6,-1,Dismissed
FCT,North-Central,Dispute,Missing,1,1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,3,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,-1,1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Fraud_impersonation,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-East,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-South,Others,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,North-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Prison_term,1,-1,-1,6,-1,-1,-1,-1,-1,Granted
Missing,Missing,Civil_petition,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Civil_petition,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,North-West,Trespassing,Payment_damages,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Dispute,Death,-1,-1,-1,-1,-1,-1,-1,-1,2,Granted
South-South,South-South,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
North-West,Missing,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Granted
South-South,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,11,-1,-1,Dismissed
Missing,Missing,Others,Missing,1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
North-West,North-West,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
FCT,Missing,Dispute,Missing,3,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Claim_for_recovery,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
North-West,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,1,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Others,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
North-West,North-West,Rape_sexual_abuse,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,South-South,Law_of_tort,Payment_damages,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-South,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Civil_petition,Missing,7,-1,-1,7,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Dispute,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Granted
South-South,Missing,Dispute,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,2,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-East,Missing,Dispute,Missing,1,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Murder_manslaughter,Missing,-1,-1,-1,4,-1,-1,5,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,10,-1,-1,Dismissed
Missing,South-East,Dispute,Death,-1,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
South-South,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-East,Theft,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Suspension_from_office,2,2,-1,1,1,-1,-1,-1,-1,Dismissed
South-South,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,2,-1,-1,Dismissed
South-East,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,South-South,Unlawful_possession,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
North-Central,North-Central,Civil_petition,Missing,3,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,1,-1,1,1,1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,2,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Armed_robbery,Missing,-1,-1,-1,3,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,2,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,North-Central,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-South,Others,Missing,1,-1,-1,8,-1,-1,-1,-1,-1,Granted
South-West,South-West,Unlawful_termination_appointment,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,3,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Law_of_tort,Payment_damages,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
FCT,FCT,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,Missing,Dispute,Payment_damages,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,North-East,Dispute,Payment_damages,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-East,Others,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Trespassing,Payment_damages,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,1,1,-1,2,-1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,-1,-1,-1,1,-1,-1,-1,2,-1,Dismissed
Missing,Missing,Missing,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Damage_property,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,North-East,Dispute,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-South,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Unlawful_termination_appointment,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Dispute,Prison_term,3,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Fraud_impersonation,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Fraud_impersonation,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,-1,-1,-1,2,2,-1,-1,-1,-1,Granted
South-West,South-West,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
FCT,FCT,Fraud_impersonation,Prison_term,1,-1,-1,1,-1,-1,-1,1,-1,Dismissed
Missing,Missing,Others,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Dismissed
North-West,North-West,Dispute,Missing,1,1,-1,1,1,-1,4,-1,-1,Dismissed
FCT,FCT,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
North-Central,Missing,Others,Missing,1,-1,-1,2,-1,-1,-1,-1,-1,Granted
South-West,South-West,Claim_for_recovery,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Unlawful_possession,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,1,-1,1,-1,-1,-1,Dismissed
Missing,Missing,Human_rights_violation,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Others,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,North-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Law_of_tort,Missing,1,1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-South,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,1,-1,Dismissed
Missing,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-East,Missing,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,3,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-South,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
North-Central,North-Central,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-South,South-East,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-South,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Others,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Theft,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-East,Dispute,Missing,-1,-1,-1,2,1,1,-1,-1,-1,Granted
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,3,-1,-1,Dismissed
South-East,South-East,Murder_manslaughter,Missing,-1,-1,-1,1,-1,1,-1,-1,-1,Dismissed
South-East,Missing,Dispute,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-South,Missing,Dispute,Death,1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Theft,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Human_rights_violation,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Prison_term,1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,South-East,Dispute,Missing,1,1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-East,South-East,Civil_petition,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Dispute,Missing,1,-1,1,2,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,1,-1,8,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Human_rights_violation,Missing,1,1,-1,1,1,-1,-1,-1,-1,Dismissed
South-East,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,North-West,Others,Payment_damages,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
South-East,South-East,Dispute,Missing,3,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Others,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
FCT,FCT,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,Missing,Civil_petition,Missing,3,-1,-1,3,-1,-1,-1,-1,-1,Granted
North-Central,North-Central,Dispute,Missing,6,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,1,-1,-1,1,-1,-1,-1,1,-1,Dismissed
Missing,South-South,Armed_robbery,Missing,1,-1,1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Others,Missing,-1,-1,-1,14,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Payment_damages,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,-1,1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Human_rights_violation,Missing,1,1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-East,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Theft,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Others,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Murder_manslaughter,Death,-1,-1,-1,4,-1,-1,-1,-1,-1,Granted
South-East,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Missing,-1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Murder_manslaughter,Missing,-1,-1,-1,2,2,-1,-1,-1,-1,Dismissed
South-South,South-South,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,5,-1,-1,Granted
Missing,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,South-West,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
South-West,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,2,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,-1,1,1,1,-1,-1,1,-1,Granted
North-West,Missing,Unlawful_possession,Missing,2,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Dispute,Missing,6,-1,-1,6,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Others,Missing,6,-1,-1,6,-1,-1,-1,-1,-1,Granted
Missing,South-East,Armed_robbery,Death,-1,-1,-1,4,-1,-1,-1,-1,-1,Dismissed
South-East,South-East,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-West,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Payment_damages,-1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-East,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-East,South-East,Court_order_violation,Missing,3,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
South-South,South-East,Dispute,Death,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Dispute,Prison_term,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
South-South,South-East,Murder_manslaughter,Missing,-1,-1,-1,3,3,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-East,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-East,Dispute,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-South,South-East,Murder_manslaughter,Death,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
South-East,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,Missing,Dispute,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Granted
Missing,South-East,Dispute,Missing,-1,-1,-1,2,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Civil_petition,Missing,1,-1,-1,1,-1,-1,-1,-1,-1,Dismissed
Missing,Missing,Murder_manslaughter,Missing,-1,-1,-1,1,1,-1,-1,-1,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-South,South-East,Others,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-South,Dispute,Missing,1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
